date,AQI,PM10,NO2,SO2,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff
2023-07-26,76.125,49.2125,17.425,9.5875,61.958333333333336,28.816666666666663,83.41666666666667,0.0,7,3.15735496821995,5.569933571313024,False,True,False,False,True,False,False,False,False,71.91666666666667,65.79166666666667,65.04166666666667,62.41666666666666,61.66666666666666,64.79166666666667,4.777878713401068,0.75
2023-07-27,71.91666666666667,53.0875,10.5875,4.5625,51.75,28.84583333333333,83.16666666666667,0.0,7,3.0504571732432377,5.22305488204749,False,True,False,False,False,True,False,False,False,65.79166666666667,65.04166666666667,72.29166666666667,76.125,62.41666666666666,66.7361111111111,8.139659140645735,13.708333333333343
2023-07-28,65.79166666666667,55.93333333333334,8.15,3.7916666666666665,46.5,28.745833333333334,81.66666666666667,0.0,7,3.030334968260329,5.104934862394657,False,True,False,False,False,False,True,False,False,65.04166666666667,72.29166666666667,71.04166666666667,71.91666666666667,76.125,70.15277777777777,7.022327157266078,-4.208333333333329
2023-07-29,65.04166666666667,75.26666666666667,8.633333333333333,3.7125,42.333333333333336,28.683333333333334,80.875,0.0,7,3.0637802543278374,5.010357477731085,False,True,False,False,False,False,False,True,False,72.29166666666667,71.04166666666667,70.45833333333333,65.79166666666667,71.91666666666667,71.27777777777779,5.1962081081955285,-6.125
2023-07-30,72.29166666666667,85.98333333333333,9.8,4.0625,41.5,28.766666666666666,82.70833333333333,0.0,7,3.1823847162857857,5.104682049853809,False,True,False,False,False,False,False,False,True,71.04166666666667,70.45833333333333,68.625,65.04166666666667,65.79166666666667,67.58333333333333,3.771466337289151,-0.75
2023-07-31,71.04166666666667,77.63333333333334,9.4875,4.154166666666667,39.708333333333336,28.691666666666663,84.54166666666667,0.0,7,3.109060958860994,5.105187611037478,False,True,False,False,False,False,False,False,False,70.45833333333333,68.625,71.08333333333333,72.29166666666667,65.04166666666667,67.70833333333333,3.986957904631712,7.25
2023-08-01,70.45833333333333,72.02499999999999,8.770833333333334,3.9875,42.708333333333336,28.620833333333334,84.83333333333333,0.0,8,3.078463671151456,5.08656699906327,False,True,False,True,False,False,False,False,False,68.625,71.08333333333333,80.625,71.04166666666667,72.29166666666667,69.45833333333333,3.875671984740961,-1.25
2023-08-02,68.625,68.73333333333333,7.5375,3.716666666666667,48.79166666666666,28.58333333333333,83.16666666666667,0.0,8,3.1004675938178985,5.063122320147014,False,True,False,False,True,False,False,False,False,71.08333333333333,80.625,77.20833333333333,70.45833333333333,71.04166666666667,71.26388888888889,0.9366508499905911,-0.5833333333333428
2023-08-03,71.08333333333333,91.36666666666667,7.529166666666666,4.0625,51.208333333333336,28.48333333333333,82.16666666666667,0.0,8,3.2168738221975275,5.061275597553849,False,True,False,False,False,True,False,False,False,80.625,77.20833333333333,78.08333333333333,68.625,70.45833333333333,70.04166666666667,1.2610621625243694,-1.8333333333333286
2023-08-04,80.625,109.07083333333333,8.529166666666667,4.495833333333334,50.958333333333336,28.441666666666663,83.45833333333333,0.0,8,3.323385979071188,5.079072455649484,False,True,False,False,False,False,True,False,False,77.20833333333333,78.08333333333333,76.08333333333333,71.08333333333333,68.625,70.05555555555554,1.277702292445703,2.4583333333333286
